|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|  4  | 125.00ps | 0.476V | 112.82ps |
|  4  | 125.00ps | 0.475V | 112.81ps |
|  4  | 125.00ps | 0.475V | 112.79ps |
|  4  | 125.00ps | 0.474V | 112.78ps |
|  4  | 125.00ps | 0.474V | 112.77ps |
|  4  | 125.00ps | 0.473V | 112.75ps |
|  4  | 125.00ps | 0.473V | 112.74ps |
|  5  | 125.00ps | 0.472V | 112.72ps |
|  5  | 125.00ps | 0.472V | 112.71ps |
|  5  | 125.00ps | 0.471V | 112.69ps |
|  5  | 125.00ps | 0.471V | 112.68ps |
|  5  | 125.00ps | 0.471V | 112.66ps |
|  5  | 125.00ps | 0.470V | 112.65ps |
|  5  | 125.00ps | 0.470V | 112.64ps |
|  5  | 125.00ps | 0.469V | 112.62ps |
|  5  | 125.00ps | 0.469V | 112.61ps |
|  5  | 125.00ps | 0.468V | 112.59ps |
|  5  | 125.00ps | 0.468V | 112.58ps |
|  5  | 125.00ps | 0.467V | 112.56ps |
|  5  | 125.00ps | 0.467V | 112.55ps |
|  5  | 125.00ps | 0.466V | 112.53ps |
|  5  | 125.00ps | 0.466V | 112.52ps |
|  5  | 125.00ps | 0.465V | 112.51ps |
|  5  | 125.00ps | 0.465V | 112.49ps |
|  5  | 125.00ps | 0.464V | 112.48ps |
|  5  | 125.00ps | 0.464V | 112.46ps |
|  5  | 125.00ps | 0.463V | 112.45ps |
|  5  | 125.00ps | 0.463V | 112.43ps |
|  5  | 125.00ps | 0.462V | 112.42ps |
|  5  | 125.00ps | 0.462V | 112.41ps |
|  5  | 125.00ps | 0.461V | 112.39ps |
|  5  | 125.00ps | 0.461V | 112.38ps |
|  5  | 125.00ps | 0.460V | 112.36ps |
|  5  | 125.00ps | 0.460V | 112.35ps |
|  5  | 125.00ps | 0.459V | 112.33ps |
|  5  | 125.00ps | 0.459V | 112.32ps |
|  5  | 125.00ps | 0.458V | 112.30ps |
